districtname,constnum,constname,maovote,civdeath_gov,civdeath_mao,govtdeath,maodeath,statebased,onesided,turnout,candidate_avgage,winnerage,per_femalecandidates,per_malecandidates,winnergender,winningparty
Nawalparasi,3,Nawalparasi 3,30.09,20.11,61.59,51.54,55.31,81.7,106.85,56.53,44.47,30,29.41,70.59,F,CPNM
Nawalparasi,4,Nawalparasi 4,24.77,0,0,0,0,0,0,60.2,47.88,42,12.5,87.5,M,CPNM
Nawalparasi,5,Nawalparasi 5,23.63,0,0,0,0,0,0,65.71,43.85,51,5,95,M,MJFN
Nawalparasi,6,Nawalparasi 6,14.34,0,0,0,0,0,0,65.84,48,48,15,85,M,TMLP
Nuwakot,1,Nuwakot 1,42.09,0,0,0,0,0,0,55.41,43.36,28,14.29,85.71,F,CPNM
Nuwakot,2,Nuwakot 2,39.82,15.13,26.48,16.39,60.52,41.61,76.91,54.9,46.92,56,30.77,69.23,M,NC
Nuwakot,3,Nuwakot 3,37.77,0,0,0,0,0,0,55.62,45.8,56,0,100,M,CPNM
Okhaldhunga,1,Okhaldhunga 1,36.9,3.17,9.5,4.75,117.17,12.67,121.92,49.92,45,36,0,100,M,CPNM
Okhaldhunga,2,Okhaldhunga 2,34.66,0,0,0,0,0,0,48.23,44.11,38,0,100,M,CPNM
Paanchthar,1,Paanchthar 1,25.02,12.34,8.64,20.98,51.82,20.98,72.8,52.8,46.67,64,0,100,M,NC
Paanchthar,2,Paanchthar 2,14.28,0,0,0,0,0,0,54.02,47.4,45,0,100,M,UML
Palpa,1,Palpa 1,16.15,0,0,0,0,0,0,56.86,42.38,47,25,75,M,UML
Palpa,2,Palpa 2,33.92,15.62,5.68,21.29,66.72,21.3,88.01,53.36,42.67,32,11.11,88.89,F,CPNM
Palpa,3,Palpa 3,30.52,0,0,0,0,0,0,54.21,41.5,56,0,100,M,UML
Parsa,1,Parsa 1,2.46,0,0,0,0,0,0,58.86,42.54,32,20.83,79.17,F,MJFN
Parsa,2,Parsa 2,5.77,0,0,0,0,0,0,61.11,41.17,43,17.39,82.61,M,NC
Parsa,3,Parsa 3,8.94,0,0,0,0,0,0,63.33,41.06,41,5.56,94.44,M,NC
Parsa,4,Parsa 4,9.08,0,0,0,0,0,0,64.47,45.4,43,6.67,93.33,M,UML
Parsa,5,Parsa 5,12.45,0,0,0,0,0,0,60.12,39.21,51,0,100,M,NC
Parvat,1,Parvat 1,30.41,5.48,6.85,16.44,30.14,12.33,46.58,54.43,44.67,51,13.33,86.67,M,NC
Parvat,2,Parvat 2,42.46,0,0,0,0,0,0,51.18,47.23,37,7.69,92.31,M,CPNM
Pyuthan,1,Pyuthan 1,30.34,0,7.83,6.53,14.36,7.83,20.89,56.33,44.88,44,0,100,M,CPNM
